date,t,kind,price,atr,leg_atr,leg_pct,leg_usd,leg_days,path_eff,giveback_atr,power_score,durab_days,durab_atr,zigzag_out_atr,truncated,yr,tier,tier_clean
2025-07-16 22:15,1752704100,TOP,3352.23,2.59,16.45,1.27,42.6,0.6,0.36,5.41,6.0,1.4,16.5,16.5,0,2025,MEDIO,MEDIO
2025-06-09 02:00,1749434400,BOT,3293.22,6.48,16.3,3.21,105.7,3.36,0.13,6.38,2.1,13.4,24.4,16.3,0,2025,FORTE,FRACO
2024-09-19 01:30,1726709400,BOT,2551.01,2.71,16.18,1.72,43.9,0.33,0.79,2.66,12.8,38.5,88.2,16.2,0,2024,FORTE,MONSTRO
2024-12-05 05:45,1733377500,TOP,2655.55,2.63,16.14,1.6,42.5,0.76,0.32,6.64,5.2,2.1,16.1,16.1,0,2024,MEDIO,MEDIO
2025-04-24 22:30,1745533800,TOP,3370.97,6.61,16.02,3.14,105.9,0.62,0.39,4.22,6.2,6.8,25.6,16.0,0,2025,MEDIO,MEDIO
2024-08-01 09:45,1722505500,BOT,2430.16,2.97,15.98,1.95,47.5,1.07,0.24,9.28,3.8,1.2,16.0,16.0,0,2024,MEDIO,MEDIO
2025-08-05 11:30,1754393400,BOT,3349.86,3.67,15.8,1.73,58.0,2.31,0.13,8.82,2.1,3.8,15.8,15.8,0,2025,MEDIO,FRACO
2024-08-15 12:15,1723724100,TOP,2470.02,2.4,15.79,1.54,38.0,0.03,1.3,6.93,20.5,0.9,15.8,8.0,0,2024,MEDIO,MONSTRO
2025-12-15 09:15,1765790100,TOP,4350.43,5.01,15.74,1.81,78.9,0.8,0.32,6.5,5.0,3.2,15.7,15.7,0,2025,MEDIO,MEDIO
2025-09-30 06:00,1759212000,TOP,3871.74,5.01,15.69,2.03,78.6,0.16,0.97,4.82,15.3,0.8,15.7,12.5,0,2025,MEDIO,MONSTRO
2025-01-27 17:00,1737997200,BOT,2730.31,5.54,15.67,3.18,86.9,3.75,0.21,3.86,3.4,324.9,517.2,15.7,0,2025,MEDIO,MEDIO
2025-08-20 22:00,1755727200,TOP,3352.27,1.98,15.61,0.92,31.0,1.56,0.16,11.56,2.4,1.6,15.6,13.7,0,2025,MEDIO,FRACO
2026-04-17 01:30,1776389400,BOT,4767.52,7.83,15.58,2.56,121.9,0.48,0.55,6.98,8.6,0.8,15.6,15.6,0,2026,MEDIO,FORTE
2025-08-18 05:00,1755493200,TOP,3358.45,3.03,15.54,1.4,47.0,1.76,0.21,6.42,3.2,4.2,15.5,15.5,0,2025,MEDIO,FRACO
2024-11-29 01:00,1732842000,BOT,2633.85,2.09,15.47,1.23,32.4,0.21,0.81,5.57,12.6,0.8,15.5,15.5,0,2024,MEDIO,MONSTRO
2025-02-28 15:00,1740754800,BOT,2832.47,6.31,15.46,3.44,97.5,2.94,0.17,5.32,2.6,302.1,438.5,15.5,0,2025,MEDIO,FRACO
2026-02-06 00:15,1770336900,BOT,4654.86,30.09,15.42,9.97,464.1,3.36,0.19,3.29,2.9,28.2,25.4,15.4,0,2026,MEDIO,FRACO
2026-01-06 23:15,1767741300,TOP,4500.68,5.03,15.41,1.72,77.5,0.67,0.29,6.67,4.5,2.6,18.5,15.4,0,2026,MEDIO,MEDIO
2026-01-28 23:30,1769643000,TOP,5597.91,32.47,15.38,8.92,499.3,0.66,0.46,8.85,7.1,77.6,46.2,15.4,0,2026,MEDIO,FORTE
2024-07-12 12:30,1720787400,BOT,2391.35,3.15,15.35,2.02,48.4,1.12,0.32,5.37,4.9,5.8,29.3,15.3,0,2024,MEDIO,MEDIO
2024-10-21 19:00,1729537200,BOT,2714.13,2.9,15.3,1.63,44.3,1.48,0.26,3.8,4.0,1.8,15.3,15.3,0,2024,MEDIO,MEDIO
2024-05-31 13:00,1717160400,TOP,2359.65,2.94,15.27,1.9,45.0,0.69,0.39,4.31,5.9,3.3,15.3,15.3,0,2024,MEDIO,MEDIO
2025-06-23 16:15,1750695300,TOP,3393.42,6.52,15.03,2.89,98.0,0.84,0.43,3.78,6.5,18.9,22.5,15.0,0,2025,MEDIO,MEDIO
2025-11-18 07:30,1763451000,BOT,3997.7,8.99,15.03,3.38,135.1,1.28,0.26,4.66,3.9,124.7,178.0,15.0,0,2025,MEDIO,MEDIO
2024-07-24 14:45,1721832300,TOP,2431.98,5.28,14.93,3.24,78.9,1.06,0.34,3.56,5.1,4.9,14.9,14.9,0,2024,MEDIO,MEDIO
2024-09-16 06:45,1726469100,TOP,2589.68,1.99,14.63,1.12,29.0,1.39,0.15,7.16,2.3,2.4,14.6,14.6,0,2024,MEDIO,FRACO
2025-12-01 13:30,1764595800,TOP,4264.59,6.92,14.61,2.37,101.2,1.05,0.23,7.16,3.4,7.8,14.6,14.6,0,2025,MEDIO,FRACO
2025-10-29 12:15,1761740100,TOP,4030.32,7.87,14.6,2.85,115.0,0.57,0.31,6.28,4.6,1.4,14.6,14.6,0,2025,MEDIO,MEDIO
2025-04-16 22:15,1744841700,TOP,3357.78,5.1,14.52,2.2,74.0,0.68,0.3,5.72,4.3,1.1,14.5,9.2,0,2025,MEDIO,MEDIO
2024-07-05 19:00,1720206000,TOP,2392.9,2.91,14.48,1.76,42.1,0.82,0.39,4.48,5.7,3.6,15.0,14.5,0,2024,MEDIO,MEDIO
