cluster_id,bar_idx,datetime,flush,clean_sky,demand,acceptance,weekly,cascade,mfe_R,is_hard_cluster,block_type,block_decision
10,5668,2023-08-31,MIXED_DECLINE,True,DEMAND_ABSENT_OR_IRRELEVANT,BROKE_SUPPORT,-0.217,1.0,0.3,0,BULL_PULLBACK,REVIEW
11,493,2020-04-27,MIXED_DECLINE,False,DEMAND_TOO_DEEP,HOLDING_SUPPORT,0.567,2.0,0.9,0,BULL_PULLBACK,REVIEW
12,521,2020-05-04,MIXED_DECLINE,False,DEMAND_SUPPORTING_RETEST,HOLDING_SUPPORT,0.558,2.0,0.3,1,LEGITIMATE_BEAR_BUY,TAKE
12,631,2020-05-28,MIXED_DECLINE,False,DEMAND_SUPPORTING_RETEST,HOLDING_SUPPORT,0.625,1.0,2.0,1,BULL_PULLBACK,TAKE
12,1316,2020-11-05,MIXED_DECLINE,False,DEMAND_SUPPORTING_RETEST,HOLDING_SUPPORT,0.26,0.0,2.5,1,BULL_PULLBACK,TAKE
12,2705,2021-10-01,MIXED_DECLINE,False,DEMAND_SUPPORTING_RETEST,HOLDING_SUPPORT,-0.307,-2.0,4.7,1,BEAR_PULLBACK_TRAP,SKIP
12,2747,2021-10-12,MIXED_DECLINE,False,DEMAND_SUPPORTING_RETEST,HOLDING_SUPPORT,-0.224,-3.0,5.4,1,RANGE_ABSORPTION,SKIP
12,2905,2021-11-17,MIXED_DECLINE,False,DEMAND_SUPPORTING_RETEST,HOLDING_SUPPORT,0.036,2.0,0.4,1,BULL_PULLBACK,TAKE
12,3622,2022-05-06,MIXED_DECLINE,False,DEMAND_SUPPORTING_RETEST,HOLDING_SUPPORT,0.438,-2.0,0.5,1,BEAR_PULLBACK_TRAP,SKIP
12,3825,2022-06-23,MIXED_DECLINE,False,DEMAND_SUPPORTING_RETEST,HOLDING_SUPPORT,-0.27,-2.0,1.0,1,BEAR_PULLBACK_TRAP,SKIP
12,4401,2022-11-04,MIXED_DECLINE,False,DEMAND_SUPPORTING_RETEST,HOLDING_SUPPORT,-0.469,-3.0,10.3,1,LEGITIMATE_BEAR_BUY,TAKE
12,4574,2022-12-15,MIXED_DECLINE,False,DEMAND_SUPPORTING_RETEST,HOLDING_SUPPORT,0.085,3.0,0.0,1,BULL_PULLBACK,TAKE
12,5331,2023-06-14,MIXED_DECLINE,False,DEMAND_SUPPORTING_RETEST,HOLDING_SUPPORT,0.391,0.0,0.7,1,BEAR_PULLBACK_TRAP,SKIP
12,5920,2023-10-30,MIXED_DECLINE,False,DEMAND_SUPPORTING_RETEST,HOLDING_SUPPORT,-0.044,2.0,0.4,1,BULL_PULLBACK,REVIEW
12,6210,2024-01-08,MIXED_DECLINE,False,DEMAND_SUPPORTING_RETEST,HOLDING_SUPPORT,0.462,2.0,0.5,1,BULL_PULLBACK,REVIEW
12,6741,2024-05-13,MIXED_DECLINE,False,DEMAND_SUPPORTING_RETEST,HOLDING_SUPPORT,0.978,3.0,0.0,1,BULL_PULLBACK,TAKE
13,583,2020-05-18,NO_FLUSH,True,DEMAND_ABSENT_OR_IRRELEVANT,ACCEPTED_ABOVE_RES,0.57,3.0,1.4,0,DISTRIBUTION_TOP,SKIP
13,9523,2026-02-27,NO_FLUSH,True,DEMAND_ABSENT_OR_IRRELEVANT,ACCEPTED_ABOVE_RES,1.418,1.0,2.9,0,BULL_PULLBACK,TAKE
14,702,2020-06-15,MIXED_DECLINE,False,DEMAND_SUPPORTING_RETEST,BROKE_SUPPORT,0.588,2.0,5.7,1,BULL_PULLBACK,TAKE
14,901,2020-07-30,MIXED_DECLINE,False,DEMAND_SUPPORTING_RETEST,BROKE_SUPPORT,0.864,3.0,5.0,1,BULL_PULLBACK,TAKE
14,2544,2021-08-25,MIXED_DECLINE,False,DEMAND_SUPPORTING_RETEST,BROKE_SUPPORT,-0.088,3.0,0.6,1,BULL_PULLBACK,TAKE
14,3178,2022-01-21,MIXED_DECLINE,False,DEMAND_SUPPORTING_RETEST,BROKE_SUPPORT,0.179,3.0,3.2,1,BULL_PULLBACK,REVIEW
14,5414,2023-07-04,MIXED_DECLINE,False,DEMAND_SUPPORTING_RETEST,BROKE_SUPPORT,0.127,-1.0,1.2,1,BEAR_PULLBACK_TRAP,SKIP
14,5866,2023-10-17,MIXED_DECLINE,False,DEMAND_SUPPORTING_RETEST,BROKE_SUPPORT,-0.125,3.0,5.1,1,BULL_PULLBACK,TAKE
15,766,2020-06-30,MIXED_DECLINE,True,DEMAND_SUPPORTING_RETEST,BROKE_SUPPORT,0.616,3.0,0.0,1,MARKUP_CONTINUATION,TAKE
15,2663,2021-09-22,MIXED_DECLINE,True,DEMAND_SUPPORTING_RETEST,BROKE_SUPPORT,-0.29,-1.0,0.2,1,MARKUP_CONTINUATION,TAKE
15,2896,2021-11-15,MIXED_DECLINE,True,DEMAND_SUPPORTING_RETEST,BROKE_SUPPORT,-0.006,2.0,0.8,1,BULL_PULLBACK,TAKE
15,4677,2023-01-11,MIXED_DECLINE,True,DEMAND_SUPPORTING_RETEST,BROKE_SUPPORT,0.649,3.0,0.0,1,MARKUP_CONTINUATION,TAKE
15,4899,2023-03-03,MIXED_DECLINE,True,DEMAND_SUPPORTING_RETEST,BROKE_SUPPORT,0.628,0.0,1.1,1,LEGITIMATE_BEAR_BUY,TAKE
15,5350,2023-06-19,MIXED_DECLINE,True,DEMAND_SUPPORTING_RETEST,BROKE_SUPPORT,0.391,1.0,0.3,1,RANGE_ABSORPTION,REVIEW
15,5998,2023-11-16,MIXED_DECLINE,True,DEMAND_SUPPORTING_RETEST,BROKE_SUPPORT,0.054,2.0,1.0,1,MARKUP_CONTINUATION,TAKE
15,7129,2024-08-12,MIXED_DECLINE,True,DEMAND_SUPPORTING_RETEST,BROKE_SUPPORT,0.224,3.0,6.2,1,MARKUP_CONTINUATION,TAKE
15,9256,2025-12-26,MIXED_DECLINE,True,DEMAND_SUPPORTING_RETEST,BROKE_SUPPORT,1.386,2.0,0.7,1,BULL_PULLBACK,TAKE
15,9329,2026-01-14,MIXED_DECLINE,True,DEMAND_SUPPORTING_RETEST,BROKE_SUPPORT,1.12,2.0,0.2,1,MARKUP_CONTINUATION,TAKE
16,833,2020-07-15,MIXED_DECLINE,True,DEMAND_SUPPORTING_RETEST,REJECTED_AT_RES,0.688,2.0,0.2,1,MARKUP_CONTINUATION,TAKE
16,1353,2020-11-13,MIXED_DECLINE,True,DEMAND_SUPPORTING_RETEST,REJECTED_AT_RES,0.135,-2.0,0.6,1,LEGITIMATE_BEAR_BUY,TAKE
16,1761,2021-02-22,MIXED_DECLINE,True,DEMAND_SUPPORTING_RETEST,REJECTED_AT_RES,-0.281,-2.0,1.2,1,LEGITIMATE_BEAR_BUY,TAKE
16,2372,2021-07-15,MIXED_DECLINE,True,DEMAND_SUPPORTING_RETEST,REJECTED_AT_RES,0.362,1.0,1.0,1,SUPPLY_REJECTION,SKIP
16,5435,2023-07-07,MIXED_DECLINE,True,DEMAND_SUPPORTING_RETEST,REJECTED_AT_RES,0.127,-3.0,0.1,1,LEGITIMATE_BEAR_BUY,REVIEW
16,8095,2025-03-27,MIXED_DECLINE,True,DEMAND_SUPPORTING_RETEST,REJECTED_AT_RES,0.856,1.0,6.8,1,MARKUP_CONTINUATION,TAKE
