bar_idx,episode_id,datetime,sl_atr,realR,exitype,is_winner_gt,is_loser_gt,sim_dist_to_winners,sim_dist_to_losers,closer_to_DIAG
9105,,2025-11-19 19:00,2.2,1.64,WIN_HELD,0,0,2.57,10.29,WINNERS
9199,,2025-12-11 11:00,2.1,3.9,WIN_RUNNER,0,0,14.03,4.58,LOSERS
9215,,2025-12-16 03:00,1.08,3.9,WIN_RUNNER,0,0,11.5,3.13,LOSERS
9243,,2025-12-22 19:00,5.42,-1.1,STOP_LOSS,0,0,19.76,8.97,LOSERS
9256,,2025-12-26 03:00,2.4,-1.1,STOP_LOSS,0,0,19.07,8.12,LOSERS
9287,,2026-01-05 07:00,3.19,1.64,SCRATCH,0,0,7.28,4.07,LOSERS
9297,,2026-01-06 23:00,5.04,1.97,WIN_HELD,0,0,11.7,3.56,LOSERS
9304,,2026-01-08 03:00,3.86,2.45,WIN_HELD,0,0,5.69,6.73,WINNERS
9314,,2026-01-09 19:00,3.63,3.16,WIN_HELD,0,0,14.27,4.14,LOSERS
9329,,2026-01-14 07:00,2.1,-1.1,STOP_LOSS,0,0,20.64,9.85,LOSERS
9345,,2026-01-18 23:00,2.34,3.9,WIN_RUNNER,0,0,16.97,7.3,LOSERS
9368,,2026-01-22 19:00,3.45,0.9,WIN_BE,0,0,21.05,9.98,LOSERS
9390,,2026-01-28 11:00,5.53,-1.1,STOP_LOSS,0,0,20.99,9.91,LOSERS
9432,,2026-02-06 11:00,5.02,0.09,SCRATCH,0,0,2.22,12.29,WINNERS
9492,,2026-02-20 11:00,5.19,0.25,SCRATCH,0,0,15.12,5.77,LOSERS
9504,,2026-02-24 11:00,5.52,0.16,SCRATCH,0,0,14.63,5.4,LOSERS
9512,,2026-02-25 19:00,1.55,0.9,WIN_BE,0,0,14.96,4.6,LOSERS
9523,,2026-02-27 15:00,3.0,-1.1,STOP_LOSS,0,0,20.44,8.97,LOSERS
9530,,2026-03-02 19:00,3.72,-1.1,STOP_LOSS,0,0,14.3,4.32,LOSERS
9537,,2026-03-03 23:00,3.48,-0.59,SCRATCH,0,0,3.42,11.14,WINNERS
9582,,2026-03-13 10:00,1.18,-1.1,STOP_LOSS,0,0,9.0,19.57,WINNERS
