bar_idx,datetime,f1_swept_low_reclaim,f1_sweep_depth_atr,f1_bars_since_sweep,f1_swept_high_reject,f2_flush_state,f2_drop_atr,f2_velocity_atr_bar,f2_range_expansion,f2_consec_down,f2_flush_bars,f3_acceptance_state,f3_closes_above_res,f3_rejections_at_res,f3_breaks_support,f4_structure_state,f4_BOS,f4_CHoCH,f4_n_pivots,f6_svp_state,f6_above_value,f6_below_value,f6_dist_poc_atr,f5_range_pos_4h,f5_range_pct_4h,f5_range_pos_1d,f5_range_pct_1d,f7_regime_traj,f7_combined_slope,f7_cascade_now,f7_distribution_onset,f7_macro_broken_recent
5147,2023-05-02,0,0.0,-1,0,MIXED_DECLINE,2.52,0.5,0.69,0,5,HOLDING_SUPPORT,1,0,0,STRUCTURE_UP,1,0,1064,ACCEPTING_ABOVE_VALUE,5,4,2.54,PREMIUM,0.83,EQUILIBRIUM,0.63,REGIME_STABLE_BULL,0.167,2.0,0,0
5165,2023-05-05,1,0.45,0,0,MIXED_DECLINE,3.64,0.61,0.98,0,6,HOLDING_SUPPORT,0,1,1,STRUCTURE_RANGE,0,0,1068,IN_VALUE,6,7,0.68,DISCOUNT,0.31,EQUILIBRIUM,0.42,REGIME_STABLE_BULL,0.167,3.0,0,0
5296,2023-06-06,0,0.0,-1,0,MIXED_DECLINE,5.21,0.65,0.99,1,8,HOLDING_SUPPORT,0,0,0,STRUCTURE_RANGE,0,0,1092,BELOW_VALUE_REJECTED,5,6,-0.59,EQUILIBRIUM,0.42,DISCOUNT,0.22,REGIME_NEUTRAL,0.0,0.0,0,0
5321,2023-06-12,0,0.0,-1,0,MIXED_DECLINE,2.75,0.46,0.83,0,6,HOLDING_SUPPORT,0,0,0,STRUCTURE_RANGE,0,0,1097,IN_VALUE,5,6,-0.3,EQUILIBRIUM,0.49,DISCOUNT,0.27,REGIME_STABLE_BULL,0.167,1.0,0,0
5331,2023-06-14,0,0.0,-1,0,MIXED_DECLINE,3.65,1.83,1.1,0,2,HOLDING_SUPPORT,0,1,0,STRUCTURE_RANGE,0,0,1101,ACCEPTING_ABOVE_VALUE,3,7,0.47,EQUILIBRIUM,0.34,DISCOUNT,0.32,REGIME_NEUTRAL,0.0,0.0,0,0
5350,2023-06-19,0,0.0,-1,0,MIXED_DECLINE,2.42,0.4,0.62,0,6,BROKE_SUPPORT,0,0,8,STRUCTURE_UP,0,1,1105,BELOW_VALUE_REJECTED,5,6,-0.52,EQUILIBRIUM,0.63,EQUILIBRIUM,0.45,REGIME_STABLE_BULL,0.167,1.0,0,0
5414,2023-07-04,0,0.0,-1,0,MIXED_DECLINE,1.76,0.88,0.27,0,2,BROKE_SUPPORT,0,0,8,STRUCTURE_UP,0,0,1121,ACCEPTING_ABOVE_VALUE,6,3,0.24,PREMIUM,0.81,EQUILIBRIUM,0.38,REGIME_NEUTRAL,0.167,-1.0,0,0
5435,2023-07-07,0,0.0,-1,1,MIXED_DECLINE,2.99,0.0,0.0,0,0,REJECTED_AT_RES,1,4,0,STRUCTURE_DOWN,0,0,1126,IN_VALUE,6,4,0.43,PREMIUM,0.75,EQUILIBRIUM,0.42,REGIME_STABLE_BEAR,0.0,-3.0,0,0
5478,2023-07-18,0,0.0,-1,1,MIXED_DECLINE,1.88,0.0,0.0,0,0,ACCEPTED_ABOVE_RES,8,4,0,STRUCTURE_DOWN,0,0,1134,ACCEPTING_ABOVE_VALUE,8,4,2.32,PREMIUM,0.85,PREMIUM,0.94,REGIME_NEUTRAL,0.167,0.0,0,0
5530,2023-07-31,0,0.0,-1,0,MIXED_DECLINE,1.36,0.34,0.49,0,4,ACCEPTED_ABOVE_RES,7,1,0,STRUCTURE_DOWN,0,0,1145,ACCEPTING_ABOVE_VALUE,8,3,1.57,PREMIUM,0.73,PREMIUM,0.81,REGIME_NEUTRAL,0.0,0.0,0,0
