episode_id,datetime,macro_phase_causal,old_policy,exit,realR
8431,2025-06-16,MACRO_BULL_RUN,TAKE_CANDIDATE,STOP_LOSS,-1.1
8460,2025-06-23,MACRO_BULL_RUN,REVIEW,STOP_LOSS,-1.1
8479,2025-06-26,MACRO_RANGE_TRANSITION,TAKE_CANDIDATE,STOP_LOSS,-1.1
8497,2025-07-01,MACRO_RANGE_TRANSITION,REVIEW,SCRATCH,-0.09
8544,2025-07-11,MACRO_RANGE_TRANSITION,SKIP_STRUCTURAL,WIN_HELD,1.01
8589,2025-07-22,MACRO_BULL_RUN,HUMAN_VISUAL_REQUIRED,STOP_LOSS,-1.1
8622,2025-07-30,MACRO_BULL_PULLBACK,TAKE_CANDIDATE,STOP_LOSS,-1.1
8635,2025-08-01,MACRO_BULL_PULLBACK,TAKE_CANDIDATE,SCRATCH,-0.19
8659,2025-08-07,MACRO_BULL_RUN,REVIEW,STOP_LOSS,-1.1
8765,2025-09-02,MACRO_BULL_RUN,HUMAN_VISUAL_REQUIRED,WIN_HELD,1.95
8823,2025-09-15,MACRO_BULL_RUN,REVIEW,WIN_HELD,2.05
8858,2025-09-23,MACRO_BULL_RUN,REVIEW,SCRATCH,1.24
8878,2025-09-28,MACRO_BULL_RUN,TAKE_CANDIDATE,WIN_HELD,3.24
8893,2025-10-01,MACRO_BULL_RUN,TAKE_CANDIDATE,WIN_HELD,2.83
8905,2025-10-03,MACRO_BULL_RUN,TAKE_CANDIDATE,WIN_RUNNER,3.9
8923,2025-10-08,MACRO_BULL_RUN,REVIEW,WIN_BE,0.9
8940,2025-10-13,MACRO_BULL_RUN,TAKE_CANDIDATE,WIN_BE,0.9
8966,2025-10-17,MACRO_BULL_RUN,TAKE_CANDIDATE,STOP_LOSS,-1.1
8978,2025-10-21,MACRO_BULL_RUN,REVIEW,STOP_LOSS,-1.1
9007,2025-10-28,MACRO_RANGE_TRANSITION,TAKE_CANDIDATE,SCRATCH,1.4
9081,2025-11-13,MACRO_BULL_RUN,REVIEW,STOP_LOSS,-1.1
9105,2025-11-19,MACRO_RANGE_TRANSITION,TAKE_CANDIDATE,WIN_HELD,1.64
9199,2025-12-11,MACRO_RANGE_TRANSITION,HUMAN_VISUAL_REQUIRED,WIN_RUNNER,3.9
9215,2025-12-16,MACRO_BULL_RUN,REVIEW,WIN_RUNNER,3.9
9243,2025-12-22,MACRO_BULL_RUN,REVIEW,STOP_LOSS,-1.1
9256,2025-12-26,MACRO_BULL_RUN,TAKE_CANDIDATE,STOP_LOSS,-1.1
9287,2026-01-05,MACRO_RANGE_TRANSITION,TAKE_CANDIDATE,SCRATCH,1.64
9297,2026-01-06,MACRO_BULL_RUN,REVIEW,WIN_HELD,1.97
9304,2026-01-08,MACRO_BULL_RUN,TAKE_CANDIDATE,WIN_HELD,2.45
9314,2026-01-09,MACRO_BULL_RUN,TAKE_CANDIDATE,WIN_HELD,3.16
9329,2026-01-14,MACRO_BULL_RUN,TAKE_CANDIDATE,STOP_LOSS,-1.1
9345,2026-01-18,MACRO_BULL_RUN,REVIEW,WIN_RUNNER,3.9
9368,2026-01-22,MACRO_BULL_RUN,TAKE_CANDIDATE,WIN_BE,0.9
9390,2026-01-28,MACRO_BULL_RUN,REVIEW,STOP_LOSS,-1.1
9432,2026-02-06,MACRO_RANGE_TRANSITION,REVIEW,SCRATCH,0.09
9492,2026-02-20,MACRO_RANGE_TRANSITION,SKIP_STRUCTURAL,SCRATCH,0.25
9504,2026-02-24,MACRO_RANGE_TRANSITION,REVIEW,SCRATCH,0.16
9512,2026-02-25,MACRO_RANGE_TRANSITION,HUMAN_VISUAL_REQUIRED,WIN_BE,0.9
9523,2026-02-27,MACRO_RANGE_TRANSITION,HUMAN_VISUAL_REQUIRED,STOP_LOSS,-1.1
9530,2026-03-02,MACRO_RANGE_TRANSITION,REVIEW,STOP_LOSS,-1.1
9537,2026-03-03,MACRO_RANGE_TRANSITION,TAKE_CANDIDATE,SCRATCH,-0.59
9582,2026-03-13,MACRO_RANGE_TRANSITION,REVIEW,STOP_LOSS,-1.1
9628,2026-03-25,MACRO_RANGE_TRANSITION,HUMAN_VISUAL_REQUIRED,SCRATCH,0.5
9646,2026-03-30,MACRO_RANGE_TRANSITION,SKIP_STRUCTURAL,SCRATCH,1.24
9727,2026-04-17,MACRO_RANGE_TRANSITION,HUMAN_VISUAL_REQUIRED,STOP_LOSS,-1.11
9805,2026-05-06,MACRO_RANGE_TRANSITION,REVIEW,STOP_LOSS,-1.1
