strategy,n,total_r_net,avg_r_net,win_rate,pf_net,max_losing_streak,r_no_top5_net,r_no_top10_net,trades_per_week,trades_per_month
XPT_INTRA_1H_brk_dec_b70_r15|DXY_strong_bear|HTF1D|tgt4.0R,33,1.71,0.0519,0.394,1.12,6,-9.39,-13.8,0.3,1.28
XPT_INTRA_1H_brk_dec_b70_r15|DXY_strong_bear|HTF1D+HTF4H|tgt2.5R,32,1.62,0.0507,0.406,1.12,6,-9.13,-13.54,0.29,1.25
XPT_INTRA_1H_brk_dec_b70_r15|DXY_strong_bear|HTF1D+HTF4H|tgt3.0R,32,1.61,0.0503,0.406,1.11,6,-9.13,-13.54,0.29,1.25
XPT_SWING_4H_pullback|DXY_strong_bear|HTF1D|tgt3.0R,31,1.52,0.0489,0.355,1.1,4,-10.74,-15.09,0.08,0.36
XPT_SWING_4H_pullback|DXY_strong_bear|HTF1D+12H|tgt3.0R,31,1.52,0.0489,0.355,1.1,4,-10.74,-15.09,0.08,0.36
XPT_SWING_4H_brk_dec_b60_r12|DXY_strong_bear|HTF1D|tgt2.0R,65,1.39,0.0215,0.308,1.05,7,-8.36,-18.11,0.18,0.76
XPT_INTRA_1H_brk_dec_b70_r15|DXY_strong_bear|HTF1D|tgt2.5R,33,1.36,0.0413,0.394,1.1,6,-9.39,-13.8,0.3,1.28
XPT_INTRA_1H_brk_dec_b70_r15|DXY_strong_bear|HTF1D|tgt3.0R,33,1.35,0.041,0.394,1.09,6,-9.39,-13.8,0.3,1.28
XPT_SWING_4H_brk_dec_b70_r15|no_macro|HTF1D|tgt2.0R,69,1.32,0.0192,0.348,1.04,7,-8.43,-18.18,0.19,0.8
XPT_SWING_4H_brk10_b60|DXY_strong_bear|HTF1D|tgt3.0R,69,1.3,0.0188,0.275,1.04,9,-13.45,-26.49,0.19,0.81
