strategy,n,total_r_net,avg_r_net,win_rate,pf_net,max_losing_streak,r_no_top5_net,r_no_top10_net,trades_per_week,trades_per_month
XAG_SWING_4H_pullback|no_macro|HTF1D|tgt4.0R,38,2.09,0.055,0.237,1.1,10,-17.37,-21.1,0.15,0.66
XAG_INTRA_1H_pullback|no_macro|HTF1D+HTF4H|tgt4.0R,84,2.07,0.0247,0.333,1.05,7,-17.68,-29.67,0.73,3.11
XAG_INTRA_1H_pullback|DXY_strong_bear|HTF1D+HTF4H|tgt3.0R,30,2.0,0.0667,0.433,1.14,5,-9.75,-13.53,0.32,1.36
XAG_INTRA_1H_brk_dec_b70_r15|DXY_below_ema200|HTF1D|tgt2.0R,55,1.83,0.0332,0.436,1.1,6,-7.55,-13.41,0.48,2.07
XAG_SWING_4H_pullback|DXY_bear|HTF1D+12H|tgt3.0R,22,1.63,0.0739,0.318,1.13,8,-12.47,-12.6,0.09,0.38
XAG_SWING_4H_pullback|DXY_bear|HTF1D|tgt3.0R,22,1.63,0.0739,0.318,1.13,8,-12.47,-12.6,0.09,0.38
XAG_INTRA_1H_brk_dec_b70_r15|no_macro|HTF1D|tgt4.0R,80,1.6,0.02,0.362,1.05,12,-14.83,-22.32,0.69,2.95
XAG_SWING_4H_brk10_b70|no_macro|HTF1D+12H|tgt2.5R,72,1.53,0.0212,0.347,1.04,7,-10.72,-22.97,0.26,1.11
XAG_SWING_4H_brk10_b70|no_macro|HTF1D|tgt2.5R,72,1.53,0.0212,0.347,1.04,7,-10.72,-22.97,0.26,1.11
XAG_SWING_4H_brk_dec_b60_r12|DXY_bear|HTF1D+12H|tgt4.0R,46,1.45,0.0316,0.37,1.07,6,-12.08,-18.33,0.17,0.71
XAG_SWING_4H_brk_dec_b60_r12|DXY_bear|HTF1D|tgt4.0R,46,1.45,0.0316,0.37,1.07,6,-12.08,-18.33,0.17,0.71
XAG_SWING_4H_brk_dec_b60_r12|no_macro|HTF1D|tgt2.5R,72,1.38,0.0191,0.333,1.04,6,-10.87,-21.81,0.26,1.11
